pregunta,opcion1,opcion2,opcion3,opcion4,respuesta_correcta
¿En qué siglo se produjo la caída del Imperio Romano de Occidente?,V,IV,VI,III,V
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Michelangelo,Van Gogh,Rafael,Leonardo da Vinci
¿Cuál fue la principal causa de la Revolución Francesa?,Crisis económica,Descontento social,Absolutismo monárquico,Todas las anteriores,Todas las anteriores
¿En qué año se descubrió América?,1492,1519,1481,1521,1492
¿Quién fue el autor de la teoría de la evolución?,Charles Darwin,Gregor Mendel,Louis Pasteur,Isaac Newton,Charles Darwin
¿Cuál fue la principal causa de la Primera Guerra Mundial?,Asesinato del archiduque Francisco Fernando,Crisis económica mundial,Rivalidad entre potencias europeas,Todas las anteriores,Todas las anteriores
¿En qué año terminó la Segunda Guerra Mundial?,1945,1944,1943,1942,1945
¿Quién fue el primer presidente de los Estados Unidos?,George Washington,Thomas Jefferson,Abraham Lincoln,John Adams,George Washington
¿Cuál fue la Revolución Industrial?,Proceso de transformación económica y social basado en la máquina de vapor,Movimiento artístico,Revolución política,Ninguna de las anteriores,Proceso de transformación económica y social basado en la máquina de vapor
¿Qué civilización mesoamericana construyó Chichén Itzá?,Mayas,Aztecas,Incas,Olmecas,Mayas
¿Cuál fue el principal motivo de las Cruzadas?,Recuperar Jerusalén y Tierra Santa de los musulmanes,Extender el cristianismo,Obtener riquezas,Todas las anteriores,Todas las anteriores
¿Quién fue el autor de "Don Quijote de la Mancha"?,Miguel de Cervantes,Lope de Vega,Calderón de la Barca,Cervantes Saavedra,Miguel de Cervantes
¿En qué siglo vivió Leonardo da Vinci?,XV,XVI,XVII,XVIII,XV
¿Cuál fue la causa principal de la Guerra Fría?,Confrontación ideológica entre Estados Unidos y la Unión Soviética,Disputa territorial,Crisis económica mundial,Ninguna de las anteriores,Confrontación ideológica entre Estados Unidos y la Unión Soviética
¿Quién fue el líder de la Revolución Mexicana?,Emiliano Zapata,Pancho Villa,Venustiano Carranza,Todos los anteriores,Todos los anteriores
¿Cuál fue el principal motivo de la exploración europea en el siglo XV?,Buscar nuevas rutas comerciales hacia Asia,Expandir el cristianismo,Conquistar nuevos territorios,Todas las anteriores,Todas las anteriores
¿En qué año cayó el Muro de Berlín?,1989,1991,1990,1988,1989
¿Quién fue el primer hombre en pisar la Luna?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Alan Shepard,Neil Armstrong
¿Cuál fue la principal causa de la Guerra de los Cien Años?,Disputa por el trono de Francia,Conflicto religioso,Rivalidad económica,Todas las anteriores,Disputa por el trono de Francia
¿Qué civilización antigua desarrolló la escritura cuneiforme?,Sumerios,Egipcios,Griegos,Romanos,Sumerios
¿Cuál fue el imperio más extenso de la Antigüedad?,Imperio Romano,Imperio Mongol,Imperio Persa,Imperio Egipcio,Imperio Mongol
¿Quién fue el autor de "El Príncipe"?,Nicolás Maquiavelo,Thomas Moro,Voltaire,Rousseau,Nicolás Maquiavelo
¿En qué siglo se produjo la Reforma Protestante?,XVI,XV,XVII,XVIII,XVI
¿Cuál fue el principal motivo de la Revolución Industrial?,Invención de la máquina de vapor,Aumento de la población,Desarrollo del comercio,Todas las anteriores,Todas las anteriores
¿Quién fue el líder de la Revolución Rusa?,Lenin,Stalin,Trotsky,Kerensky,Lenin
¿Cuál fue el principal motivo de la Segunda Guerra Mundial?,Expansión territorial de Alemania nazi,Ascenso del fascismo,Crisis económica mundial,Todas las anteriores,Todas las anteriores
¿En qué continente se originó el Homo sapiens?,África,Asia,Europa,América,África
¿Cuál fue la civilización que construyó las pirámides de Mesoamérica?,Mayas,Aztecas,Incas,Olmecas,Aztecas
¿Quién fue el autor de la Declaración de Independencia de los Estados Unidos?,Thomas Jefferson,George Washington,Benjamin Franklin,John Adams,Thomas Jefferson
¿En qué siglo se produjo la caída del Imperio Bizantino?,XV,XIV,XIII,XII,XV
¿Cuál fue el principal motivo de la Guerra Civil Española?,Conflicto ideológico entre republicanos y nacionalistas,Crisis económica,Intervención extranjera,Todas las anteriores,Conflicto ideológico entre republicanos y nacionalistas
¿Quién fue el líder de la Revolución Cubana?,Fidel Castro,Che Guevara,Raúl Castro,Todos los anteriores,Todos los anteriores
¿Cuál fue el principal motivo de la descolonización de África?,Lucha por la independencia,Movimientos nacionalistas,Intervención de las grandes potencias,Todas las anteriores,Todas las anteriores
¿Cual es el segundo apellido de Messi?, Perez, Rodriguez, Lopez, Cuccitini, Cuccitini
